*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	locus_tag_prefix	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	*isol_growth_condt	ref_biomaterial	*num_replicons	*estimated_size	*ploidy	*propagation	biotic_relationship	extrachrom_elements	health_disease_stat	host	host_spec_range	pathogenicity	samp_collect_device	samp_mat_process	sample_size	source_material_id	subspecf_gen_lin	trophic_level
A.MELLIFERA.TEX.15-767	Apis mellifera. Texas. Individual name 15-767		Apis mellifera	7460	PRJDB3873					15-767			1992	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.150-4134	Apis mellifera. Texas. Individual name 150-4134		Apis mellifera	7460	PRJDB3873					150-4134			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.151-4135	Apis mellifera. Texas. Individual name 151-4135		Apis mellifera	7460	PRJDB3873					151-4135			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.152-4138	Apis mellifera. Texas. Individual name 152-4138		Apis mellifera	7460	PRJDB3873					152-4138			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.153-4145	Apis mellifera. Texas. Individual name 153-4145		Apis mellifera	7460	PRJDB3873					153-4145			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.154-4149	Apis mellifera. Texas. Individual name 154-4149		Apis mellifera	7460	PRJDB3873					154-4149			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.155-4147	Apis mellifera. Texas. Individual name 155-4147		Apis mellifera	7460	PRJDB3873					155-4147			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.156-4273	Apis mellifera. Texas. Individual name 156-4273		Apis mellifera	7460	PRJDB3873					156-4273			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.157-4275	Apis mellifera. Texas. Individual name 157-4275		Apis mellifera	7460	PRJDB3873					157-4275			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.158-4276	Apis mellifera. Texas. Individual name 158-4276		Apis mellifera	7460	PRJDB3873					158-4276			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.159-4278	Apis mellifera. Texas. Individual name 159-4278		Apis mellifera	7460	PRJDB3873					159-4278			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.16-768	Apis mellifera. Texas. Individual name 16-768		Apis mellifera	7460	PRJDB3873					16-768			1992	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.160-4288	Apis mellifera. Texas. Individual name 160-4288		Apis mellifera	7460	PRJDB3873					160-4288			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.161-4282	Apis mellifera. Texas. Individual name 161-4282		Apis mellifera	7460	PRJDB3873					161-4282			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.162-4286	Apis mellifera. Texas. Individual name 162-4286		Apis mellifera	7460	PRJDB3873					162-4286			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.163-4287	Apis mellifera. Texas. Individual name 163-4287		Apis mellifera	7460	PRJDB3873					163-4287			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.164-4289	Apis mellifera. Texas. Individual name 164-4289		Apis mellifera	7460	PRJDB3873					164-4289			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.165-4290	Apis mellifera. Texas. Individual name 165-4290		Apis mellifera	7460	PRJDB3873					165-4290			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.166-4296	Apis mellifera. Texas. Individual name 166-4296		Apis mellifera	7460	PRJDB3873					166-4296			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.167-4297	Apis mellifera. Texas. Individual name 167-4297		Apis mellifera	7460	PRJDB3873					167-4297			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.168-4298	Apis mellifera. Texas. Individual name 168-4298		Apis mellifera	7460	PRJDB3873					168-4298			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.169-4328	Apis mellifera. Texas. Individual name 169-4328		Apis mellifera	7460	PRJDB3873					169-4328			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.17-769	Apis mellifera. Texas. Individual name 17-769		Apis mellifera	7460	PRJDB3873					17-769			1992	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.171-4331	Apis mellifera. Texas. Individual name 171-4331		Apis mellifera	7460	PRJDB3873					171-4331			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.172-4332	Apis mellifera. Texas. Individual name 172-4332		Apis mellifera	7460	PRJDB3873					172-4332			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.173-4336	Apis mellifera. Texas. Individual name 173-4336		Apis mellifera	7460	PRJDB3873					173-4336			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.174-4339	Apis mellifera. Texas. Individual name 174-4339		Apis mellifera	7460	PRJDB3873					174-4339			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.175-4345	Apis mellifera. Texas. Individual name 175-4345		Apis mellifera	7460	PRJDB3873					175-4345			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.176-4333	Apis mellifera. Texas. Individual name 176-4333		Apis mellifera	7460	PRJDB3873					176-4333			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.177-4334	Apis mellifera. Texas. Individual name 177-4334		Apis mellifera	7460	PRJDB3873					177-4334			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
